user: 852605981170597908 | points added: 300 | final minutes: 0 | final points: 300 | final max points: 300
user: 852605981170597908 | points added: -200 | final minutes: 0 | final points: 100 | final max points: 300
user: 482879179847892993 | points added: 15 | final minutes: 0 | final points: 15 | final max points: 15
user: 482879179847892993 | points added: -15 | final minutes: 0 | final points: 0 | final max points: 15
user: 482879179847892993 | points added: -5 | final minutes: 0 | final points: 10 | final max points: 15
user: 482879179847892993 | points added: -15 | final minutes: 0 | final points: 0 | final max points: 15
user: 482879179847892993 | points added: -1 | final minutes: 0 | final points: 14 | final max points: 15
user: 482879179847892993 | points added: -5 | final minutes: 0 | final points: 9 | final max points: 15
user: 482879179847892993 | points added: -1 | final minutes: 0 | final points: 8 | final max points: 15
user: 482879179847892993 | points added: 0 | final minutes: 0 | final points: 8 | final max points: 15
user: 482879179847892993 | points added: -1 | final minutes: 0 | final points: 7 | final max points: 15
user: 482879179847892993 | points added: 0 | final minutes: 0 | final points: 7 | final max points: 15
user: 482879179847892993 | points added: -1 | final minutes: 0 | final points: 6 | final max points: 15
user: 482879179847892993 | points added: -1 | final minutes: 0 | final points: 5 | final max points: 15
user: 852605981170597908 | points added: 0 | final minutes: 0 | final points: 0 | final max points: 0
user: 482879179847892993 | points added: -1 | final minutes: 0 | final points: 4 | final max points: 15
user: 482879179847892993 | points added: -1 | final minutes: 0 | final points: 3 | final max points: 15
user: 482879179847892993 | points added: -1 | final minutes: 0 | final points: 2 | final max points: 15
user: 482879179847892993 | points added: 0 | final minutes: 0 | final points: 2 | final max points: 15
user: 482879179847892993 | points added: 0 | final minutes: 0 | final points: 2 | final max points: 15
user: 482879179847892993 | points added: 0 | final minutes: 0 | final points: 2 | final max points: 15
user: 482879179847892993 | points added: 0 | final minutes: 0 | final points: 2 | final max points: 15
user: 482879179847892993 | points added: -1 | final minutes: 0 | final points: 1 | final max points: 15
user: 482879179847892993 | points added: 0 | final minutes: 0 | final points: 1 | final max points: 15
user: 482879179847892993 | points added: -1 | final minutes: 0 | final points: 0 | final max points: 15
user: 482879179847892993 | points added: 0 | final minutes: 0 | final points: 0 | final max points: 15
user: 852605981170597908 | points added: 0 | final minutes: 0 | final points: 0 | final max points: 0
user: 482879179847892993 | points added: 0 | final minutes: 0 | final points: 0 | final max points: 15
user: 482879179847892993 | points added: 15 | final minutes: 0 | final points: 15 | final max points: 15
user: 482879179847892993 | points added: -1 | final minutes: 0 | final points: 14 | final max points: 15
user: 482879179847892993 | points added: -1 | final minutes: 0 | final points: 13 | final max points: 15
user: 482879179847892993 | points added: -1 | final minutes: 0 | final points: 12 | final max points: 15
user: 482879179847892993 | points added: -4 | final minutes: 0 | final points: 8 | final max points: 15
user: 482879179847892993 | points added: -3 | final minutes: 0 | final points: 5 | final max points: 15
user: 482879179847892993 | points added: -2 | final minutes: 0 | final points: 3 | final max points: 15
user: 482879179847892993 | points added: -2 | final minutes: 0 | final points: 1 | final max points: 15
